seq,uptime_ms,status_flags,legacy_sample,status
16165,1616670,0,,OK
16166,1616770,0,,OK
16167,1616870,0,,OK
16168,1616970,0,,OK
16169,1617070,0,,OK
16170,1617170,0,,OK
16171,1617270,0,,OK
16172,1617370,0,,OK
16173,1617470,0,,OK
16174,1617570,0,,OK
16175,1617670,0,,OK
16176,1617770,0,,OK
16177,1617870,0,,OK
16178,1617970,0,,OK
16179,1618070,0,,OK
16180,1618170,0,,OK
16181,1618270,0,,OK
16182,1618370,0,,OK
16183,1618470,0,,OK
16184,1618570,0,,OK
16185,1618670,0,,OK
16186,1618770,0,,OK
16187,1618870,0,,OK
16188,1618970,0,,OK
16189,1619070,0,,OK
16190,1619170,0,,OK
16191,1619270,0,,OK
16192,1619370,0,,OK
16193,1619470,0,,OK
16194,1619570,0,,OK
16195,1619670,0,,OK
16196,1619770,0,,OK
16197,1619870,0,,OK
16198,1619970,0,,OK
16199,1620070,0,,OK
16200,1620170,0,,OK
16201,1620270,0,,OK
16202,1620370,0,,OK
16203,1620470,0,,OK
16204,1620570,0,,OK
16205,1620670,0,,OK
16206,1620770,0,,OK
16207,1620870,0,,OK
16208,1620970,0,,OK
16209,1621070,0,,OK
16210,1621170,0,,OK
16211,1621270,0,,OK
16212,1621370,0,,OK
16213,1621470,0,,OK
16214,1621570,0,,OK
16215,1621670,0,,OK
16216,1621770,0,,OK
16217,1621870,0,,OK
16218,1621970,0,,OK
16219,1622070,0,,OK
16220,1622170,0,,OK
16221,1622270,0,,OK
16222,1622370,0,,OK
16223,1622470,0,,OK
16224,1622570,0,,OK
16225,1622670,0,,OK
16226,1622770,0,,OK
16227,1622870,0,,OK
16228,1622970,0,,OK
16229,1623070,0,,OK
16230,1623170,0,,OK
16231,1623270,0,,OK
16232,1623370,0,,OK
16233,1623470,0,,OK
16234,1623570,0,,OK
16235,1623670,0,,OK
16236,1623770,0,,OK
16237,1623870,0,,OK
16238,1623970,0,,OK
16239,1624070,0,,OK
16240,1624170,0,,OK
16241,1624270,0,,OK
16242,1624370,0,,OK
16243,1624470,0,,OK
16244,1624570,0,,OK
16245,1624670,0,,OK
16246,1624770,0,,OK
16247,1624870,0,,OK
16248,1624970,0,,OK
16249,1625070,0,,OK
16250,1625170,0,,OK
16251,1625270,0,,OK
16252,1625370,0,,OK
16253,1625470,0,,OK
16254,1625570,0,,OK
16255,1625670,0,,OK
16256,1625770,0,,OK
16257,1625870,0,,OK
16258,1625970,0,,OK
16259,1626070,0,,OK
16260,1626170,0,,OK
16261,1626270,0,,OK
16262,1626370,0,,OK
16263,1626470,0,,OK
16264,1626570,0,,OK
16265,1626670,0,,OK
16266,1626770,0,,OK
16267,1626870,0,,OK
16268,1626970,0,,OK
16269,1627070,0,,OK
16270,1627170,0,,OK
16271,1627270,0,,OK
16272,1627370,0,,OK
16273,1627470,0,,OK
16274,1627570,0,,OK
16275,1627670,0,,OK
16276,1627770,0,,OK
16277,1627870,0,,OK
16278,1627970,0,,OK
16279,1628070,0,,OK
16280,1628170,0,,OK
16281,1628270,0,,OK
16282,1628370,0,,OK
16283,1628470,0,,OK
16284,1628570,0,,OK
16285,1628670,0,,OK
16286,1628770,0,,OK
16287,1628870,0,,OK
16288,1628970,0,,OK
16289,1629070,0,,OK
16290,1629170,0,,OK
16291,1629270,0,,OK
16292,1629370,0,,OK
16293,1629470,0,,OK
16294,1629570,0,,OK
16295,1629670,0,,OK
16296,1629770,0,,OK
16297,1629870,0,,OK
16298,1629970,0,,OK
16299,1630070,0,,OK
16300,1630170,0,,OK
16301,1630270,0,,OK
16302,1630370,0,,OK
16303,1630470,0,,OK
16304,1630570,0,,OK
16305,1630670,0,,OK
16306,1630770,0,,OK
16307,1630870,0,,OK
16308,1630970,0,,OK
16309,1631070,0,,OK
16310,1631170,0,,OK
16311,1631270,0,,OK
16312,1631370,0,,OK
16313,1631470,0,,OK
16314,1631570,0,,OK
16315,1631670,0,,OK
16316,1631770,0,,OK
16317,1631870,0,,OK
16318,1631970,0,,OK
16319,1632070,0,,OK
16320,1632170,0,,OK
16321,1632270,0,,OK
16322,1632370,0,,OK
16323,1632470,0,,OK
16324,1632570,0,,OK
16325,1632670,0,,OK
16326,1632770,0,,OK
16327,1632870,0,,OK
16328,1632970,0,,OK
