seq,rtt_ms,status
556,4.805800,OK
557,4.610800,OK
558,4.897400,OK
559,4.614200,OK
560,4.610100,OK
561,4.980200,OK
562,4.570500,OK
563,4.938700,OK
564,4.660000,OK
565,4.878700,OK
566,4.293200,OK
567,4.335900,OK
568,4.764600,OK
569,4.904200,OK
570,4.643900,OK
571,4.908900,OK
572,4.780800,OK
573,4.831100,OK
574,4.408200,OK
575,4.734100,OK
576,5.187600,OK
577,4.480400,OK
578,4.884000,OK
579,4.542900,OK
580,4.697900,OK
581,4.669100,OK
582,4.857200,OK
583,4.883200,OK
584,4.738600,OK
585,4.787600,OK
586,4.403700,OK
587,4.846500,OK
588,4.810800,OK
589,4.795300,OK
590,4.801000,OK
591,5.388200,OK
592,4.718000,OK
593,4.835300,OK
594,4.600800,OK
595,4.825200,OK
596,4.772400,OK
597,4.900600,OK
598,4.745400,OK
599,5.440500,OK
600,4.726000,OK
601,5.106700,OK
602,4.802600,OK
603,5.266100,OK
604,4.694400,OK
605,4.780000,OK
606,4.784900,OK
607,4.524900,OK
608,4.699400,OK
609,5.232800,OK
610,4.138500,OK
611,5.300500,OK
612,4.708700,OK
613,4.824400,OK
614,4.907300,OK
615,5.001400,OK
616,4.744700,OK
617,5.424900,OK
618,4.836600,OK
619,4.966300,OK
620,5.052200,OK
621,5.685400,OK
622,5.277300,OK
623,5.048600,OK
624,4.807700,OK
625,5.101900,OK
626,3.873700,OK
627,4.242000,OK
628,3.931500,OK
629,3.857200,OK
630,4.289900,OK
631,4.421200,OK
632,4.705500,OK
633,4.459400,OK
634,4.257400,OK
635,4.013600,OK
636,4.454800,OK
637,4.019500,OK
638,4.927000,OK
639,4.364900,OK
640,3.824600,OK
641,4.840400,OK
642,4.641700,OK
643,4.106600,OK
644,5.807000,OK
645,4.741600,OK
646,4.666600,OK
647,4.100800,OK
648,4.383500,OK
649,3.940600,OK
650,4.959700,OK
651,4.761900,OK
652,4.835100,OK
653,4.781000,OK
654,4.766700,OK
655,4.071600,OK
656,4.743000,OK
657,4.947800,OK
658,4.825600,OK
659,4.081700,OK
660,5.003200,OK
661,4.341800,OK
662,3.996100,OK
663,4.101400,OK
664,4.553900,OK
665,4.665400,OK
666,4.250800,OK
667,4.431600,OK
668,4.332200,OK
669,4.363200,OK
670,4.968900,OK
671,5.005100,OK
672,4.792300,OK
673,4.183300,OK
674,4.964300,OK
675,4.829300,OK
676,4.969100,OK
677,5.296700,OK
678,5.015500,OK
679,5.598400,OK
680,5.002500,OK
681,4.753800,OK
682,4.748200,OK
683,4.626900,OK
684,4.804000,OK
685,4.893900,OK
686,4.676400,OK
687,4.470000,OK
688,4.817400,OK
689,4.729300,OK
690,4.805100,OK
691,4.572100,OK
692,6.010600,OK
693,4.825300,OK
694,5.544000,OK
695,4.735400,OK
696,4.915300,OK
697,5.028800,OK
698,4.755400,OK
699,4.592000,OK
700,4.733900,OK
701,5.339600,OK
702,4.835300,OK
703,4.803600,OK
704,5.590700,OK
705,4.433300,OK
706,5.181700,OK
707,4.942600,OK
708,4.737300,OK
709,4.787500,OK
710,4.759200,OK
711,4.983300,OK
712,4.771300,OK
713,4.607100,OK
714,4.489900,OK
715,5.268000,OK
716,5.375700,OK
717,4.682200,OK
718,4.844400,OK
719,4.880300,OK
720,4.706900,OK
721,4.671000,OK
722,5.083900,OK
723,4.807700,OK
724,5.765200,OK
725,4.761500,OK
726,4.889900,OK
727,4.938200,OK
728,5.727500,OK
729,5.325200,OK
730,5.678100,OK
731,5.074300,OK
732,3.839800,OK
733,3.777100,OK
734,3.787700,OK
735,4.446300,OK
736,3.810900,OK
737,3.722700,OK
738,4.121500,OK
739,3.929700,OK
740,4.313900,OK
741,4.421500,OK
742,4.386300,OK
743,4.234800,OK
744,4.408900,OK
745,4.706500,OK
746,4.807700,OK
747,3.788000,OK
748,4.040300,OK
749,3.870700,OK
750,5.324400,OK
751,4.153800,OK
752,4.746100,OK
753,4.131200,OK
754,4.930700,OK
755,4.213600,OK
756,4.768000,OK
757,4.065400,OK
758,4.543900,OK
759,4.912900,OK
760,4.705900,OK
761,4.585800,OK
762,4.815700,OK
763,4.850000,OK
764,5.066400,OK
765,4.922800,OK
766,4.665800,OK
767,5.451900,OK
768,4.100800,OK
769,4.533400,OK
770,4.143700,OK
771,4.819000,OK
772,4.830300,OK
773,4.909900,OK
774,4.660300,OK
775,4.667300,OK
776,4.777900,OK
777,5.074000,OK
778,4.727800,OK
779,4.696600,OK
780,4.856600,OK
781,5.234300,OK
782,4.212900,OK
783,4.828700,OK
784,4.873800,OK
785,4.445200,OK
786,4.519700,OK
787,4.811400,OK
788,5.165000,OK
789,5.547800,OK
790,4.619600,OK
791,4.983700,OK
792,4.774500,OK
793,4.744100,OK
794,4.541700,OK
795,4.890000,OK
796,4.292300,OK
797,5.128700,OK
798,4.558800,OK
799,5.154500,OK
800,4.812200,OK
801,4.946200,OK
802,4.985300,OK
803,5.208500,OK
804,5.040700,OK
805,4.533800,OK
806,5.158200,OK
807,4.869000,OK
808,4.577900,OK
809,4.909700,OK
810,4.876600,OK
811,4.987000,OK
812,5.724200,OK
813,4.979900,OK
814,5.381400,OK
815,5.036300,OK
816,5.224600,OK
817,5.005300,OK
818,4.838700,OK
819,5.024000,OK
820,5.467200,OK
821,5.079100,OK
822,5.129600,OK
823,5.430600,OK
824,4.988000,OK
825,4.837500,OK
826,4.727100,OK
827,5.372700,OK
828,4.838700,OK
829,5.114700,OK
830,4.894800,OK
831,5.160500,OK
832,5.624400,OK
833,5.072700,OK
834,5.303500,OK
835,5.028700,OK
836,4.614900,OK
837,4.150800,OK
838,3.839300,OK
839,3.818900,OK
840,4.161800,OK
841,3.908600,OK
842,3.939300,OK
843,4.518100,OK
844,3.704600,OK
845,4.048600,OK
846,4.672400,OK
847,4.651700,OK
848,5.066900,OK
849,4.496500,OK
850,4.050600,OK
851,4.321100,OK
852,4.056700,OK
853,4.799100,OK
854,4.812300,OK
855,4.719200,OK
856,4.698600,OK
857,4.059400,OK
858,4.874400,OK
859,4.752200,OK
860,4.661000,OK
861,5.173000,OK
862,4.427500,OK
863,4.710200,OK
864,4.560400,OK
865,4.822300,OK
866,4.743100,OK
867,4.827500,OK
868,4.716600,OK
869,4.113400,OK
870,4.298600,OK
871,4.794200,OK
872,4.028800,OK
873,4.752100,OK
874,4.825800,OK
875,4.016000,OK
876,3.991200,OK
877,4.412100,OK
878,4.505700,OK
879,4.441300,OK
880,4.126900,OK
881,4.918800,OK
882,4.818600,OK
883,5.506400,OK
884,4.455500,OK
885,4.625500,OK
886,4.875200,OK
887,4.523900,OK
888,4.700800,OK
889,4.881600,OK
890,5.092400,OK
891,4.848100,OK
892,4.850000,OK
893,5.011100,OK
894,4.774200,OK
895,4.415100,OK
896,4.544000,OK
897,5.021800,OK
898,4.526100,OK
899,4.735700,OK
900,4.856100,OK
901,5.166100,OK
902,4.862500,OK
903,4.462000,OK
904,5.096400,OK
905,4.812600,OK
906,4.596400,OK
907,4.880000,OK
908,5.093600,OK
909,4.722100,OK
910,5.245000,OK
911,4.444300,OK
912,5.252700,OK
913,4.387500,OK
914,4.728500,OK
915,5.319500,OK
916,4.828800,OK
917,4.791800,OK
918,4.671700,OK
919,5.373100,OK
920,4.781200,OK
921,4.594600,OK
922,4.812300,OK
923,4.768500,OK
924,5.094900,OK
925,5.349500,OK
926,5.056700,OK
927,4.781500,OK
928,5.290400,OK
929,5.263100,OK
930,5.301400,OK
931,5.418900,OK
932,4.974100,OK
933,4.509800,OK
934,4.709200,OK
