seq,uptime_ms,status_flags,legacy_sample,status
18531,1853271,0,,OK
18532,1853371,0,,OK
18533,1853471,0,,OK
18534,1853571,0,,OK
18535,1853671,0,,OK
18536,1853771,0,,OK
18537,1853871,0,,OK
18538,1853971,0,,OK
18539,1854071,0,,OK
18540,1854171,0,,OK
18541,1854271,0,,OK
18542,1854371,0,,OK
18543,1854471,0,,OK
18544,1854571,0,,OK
18545,1854671,0,,OK
18546,1854771,0,,OK
18547,1854871,0,,OK
18548,1854971,0,,OK
18549,1855071,0,,OK
18550,1855171,0,,OK
18551,1855271,0,,OK
18552,1855371,0,,OK
18553,1855471,0,,OK
18554,1855571,0,,OK
18555,1855671,0,,OK
18556,1855771,0,,OK
18557,1855871,0,,OK
18558,1855971,0,,OK
18559,1856071,0,,OK
18560,1856171,0,,OK
18561,1856271,0,,OK
18562,1856371,0,,OK
18563,1856471,0,,OK
18564,1856571,0,,OK
18565,1856671,0,,OK
18566,1856771,0,,OK
18567,1856871,0,,OK
18568,1856971,0,,OK
18569,1857071,0,,OK
18570,1857171,0,,OK
18571,1857271,0,,OK
18572,1857371,0,,OK
18573,1857471,0,,OK
18574,1857571,0,,OK
18575,1857671,0,,OK
18576,1857771,0,,OK
18577,1857871,0,,OK
18578,1857971,0,,OK
18579,1858071,0,,OK
18580,1858171,0,,OK
18581,1858271,0,,OK
18582,1858371,0,,OK
18583,1858471,0,,OK
18584,1858571,0,,OK
18585,1858671,0,,OK
18586,1858771,0,,OK
18587,1858871,0,,OK
18588,1858971,0,,OK
18589,1859071,0,,OK
18590,1859171,0,,OK
18591,1859271,0,,OK
18592,1859371,0,,OK
18593,1859471,0,,OK
18594,1859571,0,,OK
18595,1859671,0,,OK
18596,1859771,0,,OK
18597,1859871,0,,OK
18598,1859971,0,,OK
18599,1860071,0,,OK
18600,1860171,0,,OK
18601,1860271,0,,OK
18602,1860371,0,,OK
18603,1860471,0,,OK
18604,1860571,0,,OK
18605,1860671,0,,OK
18606,1860771,0,,OK
18607,1860871,0,,OK
18608,1860971,0,,OK
18609,1861071,0,,OK
18610,1861171,0,,OK
18611,1861271,0,,OK
18612,1861371,0,,OK
18613,1861471,0,,OK
18614,1861571,0,,OK
18615,1861671,0,,OK
18616,1861771,0,,OK
18617,1861871,0,,OK
18618,1861971,0,,OK
18619,1862071,0,,OK
18620,1862171,0,,OK
18621,1862271,0,,OK
18622,1862371,0,,OK
18623,1862471,0,,OK
18624,1862571,0,,OK
18625,1862671,0,,OK
18626,1862771,0,,OK
18627,1862871,0,,OK
18628,1862971,0,,OK
18629,1863071,0,,OK
18630,1863171,0,,OK
18631,1863271,0,,OK
18632,1863371,0,,OK
18633,1863471,0,,OK
18634,1863571,0,,OK
18635,1863671,0,,OK
18636,1863771,0,,OK
18637,1863871,0,,OK
18638,1863971,0,,OK
18639,1864071,0,,OK
18640,1864171,0,,OK
18641,1864271,0,,OK
18642,1864371,0,,OK
18643,1864471,0,,OK
18644,1864571,0,,OK
18645,1864671,0,,OK
18646,1864771,0,,OK
18647,1864871,0,,OK
18648,1864971,0,,OK
18649,1865071,0,,OK
18650,1865171,0,,OK
18651,1865271,0,,OK
18652,1865371,0,,OK
18653,1865471,0,,OK
18654,1865571,0,,OK
18655,1865671,0,,OK
18656,1865771,0,,OK
18657,1865871,0,,OK
18658,1865971,0,,OK
18659,1866071,0,,OK
18660,1866171,0,,OK
18661,1866271,0,,OK
18662,1866371,0,,OK
18663,1866471,0,,OK
18664,1866571,0,,OK
18665,1866671,0,,OK
18666,1866771,0,,OK
18667,1866871,0,,OK
18668,1866971,0,,OK
18669,1867071,0,,OK
18670,1867171,0,,OK
18671,1867271,0,,OK
18672,1867371,0,,OK
18673,1867471,0,,OK
18674,1867571,0,,OK
